Empresa,ASN,País Sede,Rotas Únicas,Tamanho Médio AS_PATH,Concentração Top-5 (%),Fração de ASes Estrangeiros (%)
Huawei Cloud,136907,CN,211815,3.97,49.44,99.26
Alibaba Cloud,45102,CN,403073,3.99,66.52,84.77
Tencent,132203,CN,371514,3.81,56.14,94.01
JD.com,55990,CN,137043,5.01,84.2,25.86
Baidu,38365,CN,45022,5.47,98.87,25.27
Microsoft,8075,US,453191,2.29,12.64,79.94
Google,15169,US,448370,2.36,15.14,71.52
Meta (Facebook),32934,US,146014,3.23,66.72,56.75
Netflix,2906,US,109738,3.23,58.98,45.99
X (Twitter),13414,US,11370,4.67,100.0,20.14
